Pollen_type_SM_morphological,African_coast,Madagascar,South_Africa,Eastern_Tropical_Africa,Zambezian,Guineo-Congolian,Sudanian,Sahel,Sahara,Mediterranean,Temperate,Asia,Arabia,America,Australia,Exotic_Introduced,Cosmopolitan,Widespread,Reference #1,Reference #2,Reference #3,Reference #4,Reference #5,Reference #6,Reference #7,Reference #8,Observations
Eriocaulon,,,x,x,,x,x,,,,,,,,,,,,"Larridon, I., Tanaka, N., Liang, Y. et al. (2019). J Plant Res",,,,,,,,
Eriosema,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Erodium,,,,,,,,,x,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Erythrina,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to Hely (2014) is not in the Guineo-Congolian area
Erythrococca/Micrococca,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,"Zambezian, Lake Victoria (white 1983). According to Hély (2014) Guineo-Congolian-Sudanian"
Erythrophleum,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Eucalyptus,,,,,,,,,,,,,,,x,x,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Eugenia,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,According to White (1983) is not in the Sudanian area
Euphorbia t.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Euphorbiaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Fabaceae Undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Faboideae Undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Fagara,,,x,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,"According to White (1983) in Guineo-Congolian, Zambezian"
Fagonia,,,,,,,,,x,x,,,,,,,,,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.","White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,According to Quézel (1978) is saharo-arabian. In White (1983) is also in the Mediterranean-Sahara transition
Fagopyrum,,,,x,,,,,,,,x,,,,,,,"Pope GV, Polhill RM, Martins ES. 2006. Flora Zambesiaca. Vol. 9, Part 3. Polygonaceae-Myriaceae; Ziyuan et al. (2023) J. of Resources and Ecology",,,,,,,,Cultivated worldwide
Fagus,,,,,,,,,,x,x,x,,x,,,,,Fang and Lechowicz (2006) Journal of Biogeography,,,,,,,,
Faidherbia albida,,,x,x,,,x,x,x,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,According to White (1983) not present in Sudan-Sahara
Fallopia,,,,,,,,,,x,x,x,,x,,,,,"Pope GV, Polhill RM, Martins ES. 2006. Flora Zambesiaca. Vol. 9, Part 3. Polygonaceae-Myriaceae.",,,,,,,,Cultivated worldwide.
Fern,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,Vicent et al. (2014) Botanica Complutensis,,,,,,,,
Fern-Equisetophyta,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Welsh, Stanley L.; Atwood, N. Duane; Goodrich, Sherel; and Higgins, Larry C. (1987) ""Division Equisetophyta,"" Great Basin Naturalist Memoirs: Vol. 9",,,,,,,,
Fern-Lycopodiaceae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Øllgaard, B. (1990). Lycopodiaceae. In: Kramer, K.U., Green, P.S. (eds) Pteridophytes and Gymnosperms. The Families and Genera of Vascular Plants, vol 1. Springer, Berlin, Heidelberg.",,,,,,,,
Ficus,,,x,x,,x,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,According to Hely (2014) only in Sudanian-Sahel-Saharan. According to Watrin (2009) only Tropical.
Filipendula t.,,,,,,,,,,x,x,x,,x,,,,,Morales (1998) Flora iberica,,,,,,,,
Flabellaria,,,,,,x,,,,,,,,,,,,,"Abo, K. A., & Olugbuyiro, J. A. O. (2004). Phytochemical and antibacterial studies of extracts of Flabellaria. African Journal of Biomedical Research, 7(1).",,,,,,,,
Flacourtia,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Fontanesia,,,,,,,,,,x,,,,,,,,,Ki-doong (1998) J. Plant Biol.,,,,,,,,
Frangula,,,,,,,,,,x,x,x,x,x,,,,,Youngblood (2005) Woody plant seed manual. United States Department,,,,,,,,
Frankenia,,,,,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Fraxinus,,,,,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Fumaria,,,,x,,,,x,,x,x,x,x,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,"According to Thulin et al. (2008): from Europe and North Africa to central Asia and the Himalayas, one species in tropical Africa."
Fungi,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,Webster and Weber (2007) Cambridge University Press,,,,,,,,
Galiniera,,,,x,x,,,,,,,,,,,,,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,"Accoridng to Schüler & Hemp (2016): Zaire, Rwanda, Burundi, Sudan, Ethiopia, Malawi, Zambia"
Galium t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,According to Hely (2014) only Sahel-Saharan
Ganophyllum,,,,,x,x,,,,,,,,,,,,,Onuminya and Ogundipe 2012 Internation Journal of Biodiversity and Conservation,,,,,,,,
Garcinia,,,x,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Gardenia,,,,,x,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,"According to Hely (2014) not in Sahel, but in White (1983) species Gardenia ternifolia present in Sahel"
Genisteae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"TIZIANA CUSMA-VELARI, LAURA FEOLI-CHIAPELLA (2009) Botanical Journal of the Linnean Society",,,,,,,,
Gentiana t.,,,,,,,,,,x,x,x,x,x,x,,,,Jiang et al. (2021) Journal of Ethnopharmacology,,,,,,,,
Gentianaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Pringle, J.S. (2014). Morphological Characteristics of the Family Gentianaceae. In: Rybczy?ski, J., Davey, M., Miku?a, A. (eds) The Gentianaceae - Volume 1: Characterization and Ecology.",,,,,,,,
Geraniaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Xu, Z., Deng, M. (2017). Geraniaceae. In: Identification and Control of Common Weeds: Volume 2. Springer, Dordrecht",,,,,,,,
Geranium,,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,,Marcussen and Meseguer (2017) Molecular Phylogenetics and Evolution,,,,,,,,
Globularia,,,,,,,,,,x,,,,,,,,,"Castroviejo, S., Aedo, C., Cirujano, S., Laínz, M., Montserrat, P., Morales, R., Muñoz Garmendia, F., Navarro, C., Paiva, J. & Soriano, C. (eds.). 1993. Flora iberica vol. CXLVI GLOBULARIACEAE. Real Jardín Botánico, CSIC, Madrid.",,,,,,,,
Gomphrena t.,,,,,,,x,x,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Gossypium,,,x,x,x,,x,x,,,,x,x,x,x,,,,"Wendel, J.F., Brubaker, C.L., Seelanan, T. (2010). The Origin and Evolution of Gossypium . In: Stewart, J.M., Oosterhuis, D.M., Heitholt, J.J., Mauney, J.R. (eds) Physiology of Cotton.",,,,,,,,Cultivated worldwide. According to White (1983) only in Sahel and offshore islands
Grewioideae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,Pantropical (warm temperate) distribution
Guibourtia,,,,,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Haematostaphis,,,,,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,Endemic to the Sudanian region according to White (1983). According to Hely (2014) the species Haematostaphis-type barteri occurs in the Guineo-Congolian-Sudanian
Hagenia,,,,x,,,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,According to White (1983) in Afromontane archipelago
Haplophyllum,,,,,,,,,,x,x,x,x,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Harungana,,,,,x,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Hedera,,,,,,,,,,x,x,x,,,,,,,"Valcárcel, V., Guzmán, B., Medina, N.G. et al. (2017) hylogenetic and paleobotanical evidence for late Miocene diversification of the Tertiary subtropical lineage of ivies (Hedera L., Araliaceae). BMC Evol Biol 17, 146",,,,,,,,
Heeria,,,x,x,,,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,Heeria reticulata (in White) is now Ozoroa reticulata which is in Zambezian-Somalia-Masai regions. The only species of Heeria is Heeria argentea which is native to South Africa.
Heliotropium,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,Kandemir et al. (2020) Flora,,,,,,,,According to Hely (2014) is in Sudanian-Sahel-Saharan regions
Hepaticae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,Crandall-Stotler et al. (2009) Edinburgh Journal of Botany,,,,,,,,
Heteromorpha,,,x,x,,,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Hewittia,,,,x,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Hibiscus,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Proctor (2012). Flora of the Cayman Isands (Second Edition). Royal Botanic Gardens, Kew",,,,,,,,"A pantropical genus of about 200 species, a few also occurring in temperate regions (Proctor 2012)"
Hippophae,,,,,,,,,,x,x,x,,,,,,,"Swenson, U. & Bartish, I. V. 2003. Taxonomic synopsis of Hippophue (Elaeagnaceae). - Nord. J. Bot",,,,,,,,
Hippuris,,,,,,,,,,x,x,x,,x,,,,,Dai et al. (2021) Plant Systematics and Evolution,,,,,,,,
Homalium,,,x,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Humulus,,,,,,,,,,x,x,x,,x,,,,,"Carbone, K., & Gervasi, F. (2022). An updated review of the genus Humulus: a valuable source of bioactive compounds for health and disease prevention. Plants, 11(24), 3434.",,,,,,,,
Hura,,,,,,,,,,,,,,x,,x,,,"de Oliveira, L.D.S.D., da Silva, M.J. & de Sales, M.F. Synopsis of the tribe Hureae (Euphorbioideae, Euphorbiaceae). Brittonia 65, 310–329 (2013)",,,,,,,,
Hydrocharitaceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Xu, Z., Chang, L. (2017). Hydrocharitaceae. In: Identification and Control of Common Weeds: Volume 3. Springer, Singapore",,,,,,,,
Hydrocotyle,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Hygrophila,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Timberlake, J. R., & Martins, E. S. (Eds.). (2013). Flora Zambesiaca (Vol. 8, Part 5). University of Chicago Press. ISBN: 978-1842464120","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,"About 100 species in all tropical regions. Usually in wet habitats, some truly aquatic species and several rheophytic (Timberlake and Martins 2013). According to Hély (2014) and White (1983) only in sudanian region"
Hymenocardia,,,,,x,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to Hely (2014) in Sahel
